,site_number,site_location,site_tp_cd,latitude,longitude
0,335146078002001,"BR-382 HG3D AT BALD HEAD ISLAND, NC (L SURFICIAL)",GW,33.86276944,-78.00568889
1,335334078352102,"BR-116 CALABASH RS NR CALABASH, NC (BLACK CREEK)",GW,33.89305556,-78.5890278
2,335334078352106,"BR-123 CALABASH RS NR CALABASH, NC (SURFICIAL)",GW,33.89277778,-78.5891667
3,335335078351901,"BR-381 USGS CALABASH RS NR CALABASH, NC (SURFICIAL",GW,33.89305556,-78.5886111
4,335629078115406,BR-079 SUNSET HARBOR RS (PEEDEE),GW,33.9411111,-78.1986111
5,335629078115407,BR-080 (NC-182) SUNSET HARBOR RS (SURFICIAL),GW,33.94138889,-78.1986111
6,335631078003604,BR-081 (NC-197) SOUTHPORT RS (PEEDEE),GW,33.94194444,-78.0097222
7,335631078003605,BR-082 (NC-198) SOUTHPORT RS (CASTLE HAYNE),GW,33.94194444,-78.0097222
8,335631078003606,BR-083 (NC-199) SOUTHPORT RS (SURFICIAL),GW,33.94194444,-78.0097222
9,335849078054301,BR-100 WELL 15A (CASTLE HAYNE/PEEDEE),GW,33.98027778,-78.0952778
10,340416078084202,BR-078 (NC-180) NCDEQ BOLIVIA RS FF33D2 (PEEDEE),GW,34.07138889,-78.1448611
11,340743078202002,"BR-106 BEAR PEN EE36k5 NR SUPPLY, NC (BLACK CREEK)",GW,34.1286111,-78.33888889
12,340743078202006,"BR-107 BEAR PEN EE36k6 NR SUPPLY, NC (PEEDEE)",GW,34.1286111,-78.33888889
13,343609077171301,ON-293 SNEADS FERRY RD (CASTLE HAYNE),GW,34.6025,-77.28638889
14,343626077171701,ON-358 SNEADS FERRY 2 (PEEDEE),GW,34.6072222,-77.2880556
15,343641077290101,ON-226 DIXON RS Y25Q1 (CASTLE HAYNE),GW,34.61155449,-77.4832994
16,343641077290103,ON-227 DIXON RS Y25q3 (CASTLE HAYNE),GW,34.61138889,-77.48277778
17,343641077290104,ON-225 (NC-188) DIXON RS Y25Q4 (BLACK CREEK),GW,34.61155449,-77.4832994
18,343641077290106,ON-230 DIXON RS Y25q6 (SURFICIAL),GW,34.61138889,-77.4830556
19,344037077253901,ON-291 RAGGED POINT WELL (CASTLE HAYNE),GW,34.67638889,-77.4275
20,344139077211202,ON-256 HADNOT POINT RS X24s2 (BLACK CREEK),GW,34.69166667,-77.3508333
21,344139077211204,ON-264 HADNOT POINT RS X24s4 (PEEDEE),GW,34.69305556,-77.3516667
22,344139077211205,ON-265 HADNOT POINT RS X24s5 (CASTLE HAYNE),GW,34.69305556,-77.3516667
23,344139077211206,ON-266 HADNOT POINT RS X24s6 (CASTLE HAYNE),GW,34.69305556,-77.3516667
24,344139077211207,ON-267 HADNOT POINT RS X24s7 (SURFICIAL),GW,34.6933333,-77.3516667
25,344203077182001,ON-295 WALLACE CR WELL CAMP LEJEUNE (CASTLE HAYNE),GW,34.700996,-77.3052355
26,344304077232901,ON-292 PARADISE POINT WELL (CASTLE HAYNE),GW,34.71805556,-77.3919444
27,344323076451301,CT-153 (NC-139) CAMP GLENN RS X17j5 (CASTLE HAYNE),GW,34.7233333,-76.7533333
