Counties,Estimate Total,Total No Income,Total W/ Income,"$1-9,999 (or loss)","$10,000-14,999","$15,000-24,999","$25,000-34,999","$35,000-49,999","$50,000-64,999","$65,000-74,999",">$75,000",Total Age Estimate,Ages <5,Ages 5-17,Ages 18-24,Ages 25-34,Ages 35-44,Ages 45-54,Ages 55-59,Ages 60-61,Ages 62-64,Ages 65-74,Ages 75+,Estimate Total Ed,Less than high school graduate,High school graduate,Some college or associate’s degree,Bachelor’s degree,Graduate or professional degree,,,,,,,,,,,,,,,,,,,,,,,,,
Mitchell,12779,1484,11295,1529,2251,2096,1527,1739,1170,366,617,15040,669,2099,1136,1600,1568,2014,1108,495,742,2056,1553,11136,1721,3744,3580,1389,702,,,,,,,,,,,,,,,,,,,,,,,,,
Greene,17407,3601,13806,1909,3437,2390,2049,2085,998,311,627,21008,1068,3320,1678,2843,3043,2784,1661,641,775,1896,1299,14942,3870,4861,4640,1199,372,,,,,,,,,,,,,,,,,,,,,,,,,
Chowan,11947,1888,10059,1092,2146,1752,1406,1653,784,291,935,14205,664,2337,699,1766,1670,1525,987,429,806,1890,1432,10505,1682,3598,3150,1433,642,,,,,,,,,,,,,,,,,,,,,,,,,
Caldwell,68078,8287,59791,8600,11797,11601,9616,8735,4667,1214,3561,81779,4137,12733,6153,9064,9763,12496,6486,2136,3345,9309,6157,58756,11913,19103,18775,5932,3033,,,,,,,,,,,,,,,,,,,,,,,,,
Catawba,127782,16573,111209,13251,18442,20424,17593,16971,10641,3366,10521,156729,8880,26477,13204,17910,19235,22848,11561,4413,5462,16138,10601,108168,16024,33069,35333,16281,7461,,,,,,,,,,,,,,,,,,,,,,,,,
Craven,83973,9217,74756,7932,12320,13975,12160,10246,7253,2749,8121,103082,6684,16084,12858,13810,11334,10936,6165,2573,4095,10699,7844,67456,7957,17478,24669,11052,6300,,,,,,,,,,,,,,,,,,,,,,,,,
Edgecombe,43273,6448,36825,5848,7425,7821,5531,5210,2360,944,1686,53332,3142,9060,4550,6265,5790,6772,4076,1446,2442,5760,4029,36580,7438,13628,10885,2978,1651,,,,,,,,,,,,,,,,,,,,,,,,,
Harnett,100962,17266,83696,8886,16290,14083,11406,12850,9114,3143,7924,130361,9806,24959,11845,20323,17863,16235,7400,2880,3636,9411,6003,83751,11435,25063,29886,11475,5892,,,,,,,,,,,,,,,,,,,,,,,,,
Henderson,95533,9108,86425,9270,13307,16054,13039,13756,8693,3284,9022,113625,5529,16473,7424,11302,12966,14914,8440,3505,4568,16130,12374,84199,8546,20478,28435,17517,9223,,,,,,,,,,,,,,,,,,,,,,,,,
Hyde,4454,932,3522,395,785,717,443,461,468,103,150,5393,280,885,372,702,794,794,287,92,300,508,379,3856,709,1602,1182,266,97,,,,,,,,,,,,,,,,,,,,,,,,,
Mecklenburg,841193,108639,732554,61430,113525,107826,92297,107998,75892,32422,141164,1054314,71440,182625,95850,177402,157093,143603,62587,22441,29056,68969,43248,704399,69881,122374,196799,207540,107805,,,,,,,,,,,,,,,,,,,,,,,,,
