,site_number,address
0,02043410,"NORTHWEST RIVER ABOVE MOUTH NEAR MOYOCK, NC"
1,02043415,"TULL CREEK AT SR 1222 NEAR CURRITUCK, NC"
2,0204342510,"CURRITUCK SOUND AT BELL ISLAND, NC (CU1)"
3,02043433,"CURRITUCK SOUND ON EAST BANK AT COROLLA, NC"
4,0204345010,"CURRITUCK SOUND AT POPLAR BRANCH, NC (CU3)"
5,0204347500,"CURRITUCK SOUND AT US 158 NR POINT HARBOR, NC"
6,0204347510,CURRITUCK SOUND AT POINT HARBOR
7,0204382800,"PASQUOTANK RIVER NEAR SOUTH MILLS, NC"
8,0204385315,"PASQUOTANK R AT BRICKHOUSE LN AB ELIZABETH CTY, NC"
9,02043862,"PASQUOTANK R AT ELIZABETH CITY, NC"
10,02043892,"PERQUIMANS RIVER AT US 17 AT HERTFORD, NC"
11,02053200,"POTECASI CREEK NEAR UNION, NC"
12,02053500,"AHOSKIE CREEK AT AHOSKIE, NC"
13,02053652,"CHOWAN RIVER NR EDENHOUSE, NC"
14,02068500,"DAN RIVER NEAR FRANCISCO, NC"
15,02069000,"DAN RIVER AT PINE HALL, NC"
16,02070500,"MAYO RIVER NEAR PRICE, NC"
17,02071000,"DAN RIVER NEAR WENTWORTH, NC"
18,02074000,"SMITH RIVER AT EDEN, NC"
19,0207428225,"WOLF ISLAND CREEK BELOW SR 1998 AT REIDSVILLE, NC"
20,02077200,"HYCO CREEK NEAR LEASBURG, NC"
21,02077280,"HYCO LAKE AT DAM NR ROXBORO, NC"
22,0207730290,"AFTERBAY RESERVOIR AT DAM NR MCGEHEES MILL, NC"
23,02077303,"HYCO R BL ABAY D NR MCGEHEES MILL, NC"
24,02077670,"MAYO CR NR BETHEL HILL, NC"
25,02080500,"ROANOKE RIVER AT ROANOKE RAPIDS, NC"
26,0208062765,"ROANOKE RIVER AT HALIFAX, NC"
27,02081000,"ROANOKE RIVER NEAR SCOTLAND NECK, NC"
28,0208102115,"ROANOKE RIVER NR HILLS FERRY, NC"
29,02081022,"ROANOKE RIVER NEAR OAK CITY, NC"
30,02081028,"ROANOKE RIVER AT HAMILTON, NC"
31,0208102925,"ROANOKE RIVER NR HAMILTON, NC"
32,02081054,"ROANOKE RIVER AT WILLIAMSTON, NC"
33,0208108600,"CONINE CREEK AT US HWY 17 NR WILLIAMSTON, NC"
34,0208108650,"ROANOKE RIVER NR WOODARD, NC"
35,02081094,"ROANOKE RIVER AT JAMESVILLE, NC"
36,0208111310,"CASHIE RIVER AT SR1257 NEAR WINDSOR, NC"
37,02081133,"CASHIE R AB SANS SOUCI FERRY NR SANS SOUCI, NC"
38,02081138,"WELCH CREEK ABOVE SEO NEAR PLYMOUTH, NC"
39,0208114055,"ROANOKE RIVER AT PLYMOUTH, NC"
40,0208114150,"ROANOKE RIVER AT NC 45 NR WESTOVER, NC"
41,0208114250,"ROANOKE RIVER AT LT 11 NEAR WESTOVER, NC"
42,0208114360,"CASHIE RIVER AT NC 45 NR CASHOKE LANDING, NC"
43,0208117839,ALLIGATOR RIVER AT HWY 64 NEAR SOUTHSHORE LANDING
44,0208117948,CROATAN SOUND NEAR MANNS HARBOR
45,0208117990,ROANOKE SOUND AT US 64/264 AT HEADQUARTERS ISLAND
46,02081500,"TAR RIVER NEAR TAR RIVER, NC"
47,02081747,"TAR R AT US 401 AT LOUISBURG, NC"
48,02081942,"TAR RIVER AT NC-581 NEAR SPRING HOPE, NC"
49,0208194820,"TAR RIVER AT SR1001 AT STRICKLAND CROSSROADS, NC"
50,0208250410,"TAR RIVER BELOW DAM NEAR LANGLEY CROSSROADS, NC"
51,02082506,"TAR R BL TAR R RESERVOIR NR ROCKY MOUNT, NC"
52,0208250885,"TAR RIVER AT US 301 BYPASS AT ROCKY MOUNT, NC"
53,02082585,"TAR RIVER AT NC 97 AT ROCKY MOUNT, NC"
54,02082731,"DEVILS CRADLE CREEK AT SR1412 NEAR ALERT, NC"
55,02082770,"SWIFT CREEK AT HILLIARDSTON, NC"
56,0208281175,"SWIFT CREEK AT NC 97 NEAR LEGGETT, NC"
57,02082950,"LITTLE FISHING CREEK NEAR WHITE OAK, NC"
58,02083000,"FISHING CREEK NEAR ENFIELD, NC"
59,0208331077,"FISHING CREEK AT NC 97 NEAR LEGGETT, NC"
60,02083500,"TAR RIVER AT TARBORO, NC"
61,02083640,"TOWN CREEK AT US 258 NEAR PINETOPS, NC"
62,0208378372,"CONETOE CREEK AT CONETOE, NC"
63,02083800,"CONETOE CREEK NEAR BETHEL, NC"
64,02083893,"TAR RIVER AT US 264 BYPASS NR ROCK SPRINGS, NC"
65,0208397625,TAR RIVER TRIB BL SCHOOLHOUSE BR AT GREENVILLE
66,02084000,"TAR RIVER AT GREENVILLE, NC"
67,02084160,"CHICOD CR AT SR1760 NEAR SIMPSON, NC"
68,02084173,"TAR RIVER AT SR 1565 NEAR GRIMESLAND, NC"
69,0208436195,"TRANTERS CREEK AT SR1403 NEAR WASHINGTON, NC"
70,02084472,"PAMLICO RIVER AT WASHINGTON, NC"
71,0208453500,"BATH CREEK AT BATH, NC"
72,02084540,"DURHAM CREEK AT EDWARD, NC"
73,0208455120,"SOUTH CREEK NR HICKORY POINT, NC"
74,0208455145,"CAMPBELL CREEK AT CAMPBELL CREEK, NC"
75,0208455500,"PAMLICO RIVER AT PAMLICO BEACH, NC"
76,0208455600,"GOOSE CREEK NR LOWLAND, NC"
77,02084557,"VAN SWAMP NEAR HOKE, NC"
78,0208458800,"WILLIAMS DITCH NR ROSE BAY, NC"
79,0208458892,"LAKE MATTAMUSKEET W OF NC HWY 94 NR FAIRFIELD, NC"
80,0208458893,"LAKE MATTAMUSKEET E OF NC HWY 94 NR FAIRFIELD, NC"
81,02084591,"DRUM CR POINT MARSH NR HOBUCKEN, NC   (SW-2)"
82,02084593,"HOBUCKEN CANAL AT HOBUCKEN, NC"
83,0208463120,"OUTFLOW DITCH FROM JENNETT SEDGE AT BUXTON, NC"
84,0208463140,"OUTFLOW DRAINAGE CANAL NR BUXTON, NC"
85,02084909,"SEVENMILE CREEK NR EFLAND, NC"
86,02085000,"ENO RIVER AT HILLSBOROUGH, NC"
87,02085039,ENO RIVER AT COLE MILL RD NR HUCKLEBERRY SPRING
88,02085070,"ENO RIVER NEAR DURHAM, NC"
89,0208521324,"LITTLE RIVER AT SR1461 NEAR ORANGE FACTORY, NC"
90,0208524090,"MOUNTAIN CREEK AT SR1617 NR BAHAMA, NC"
91,0208524975,"LITTLE R BL LITTLE R TRIB AT FAIRNTOSH, NC"
92,02085500,"FLAT RIVER AT BAHAMA, NC"
93,02086000,"DIAL CREEK NEAR BAHAMA, NC"
94,02086500,"FLAT RIVER AT DAM NEAR BAHAMA, NC"
95,0208650112,"FLAT RIVER TRIB NR WILLARDVILLE, NC"
96,02086624,"KNAP OF REEDS CREEK NEAR BUTNER, NC"
97,0208675010,"ELLERBE CREEK AT CLUB BOULEVARD AT DURHAM, NC"
98,02086849,"ELLERBE CREEK NEAR GORMAN, NC"
99,0208700550,"LITTLE LICK CREEK AT NC HWY 98 AT OAK GROVE, NC"
100,0208700780,"LITTLE LICK CR AB SR1814 NR OAK GROVE, NC"
101,0208706575,"BEAVERDAM CREEK AT DAM NEAR CREEDMOOR, NC"
102,02087182,"FALLS LAKE ABOVE DAM NR FALLS, NC"
103,0208718210,"NEUSE RIVER AT FALLS, NC"
104,02087183,"NEUSE RIVER NEAR FALLS, NC"
105,0208721055,"PERRY CREEK AT SR2012 NEAR MILLBROOK, NC"
106,0208725600,"SYCAMORE CREEK NEAR LYNN CROSSROADS, NC"
107,0208726005,"CRABTREE CR AT EBENEZER CHURCH RD NR RALEIGH, NC"
108,0208726100,"RICHLANDS CREEK NEAR WESTOVER, NC"
109,0208726835,"HARE SNIPE TRIB NEAR LEESVILLE, NC"
110,0208726990,"HARE SNIPE CREEK BELOW LAKE LYNN AT RALEIGH, NC"
111,02087275,"CRABTREE CREEK AT HWY 70 AT RALEIGH, NC"
112,0208730025,"BIG BRANCH TRIB AT WINGATE DR AT RALEIGH, NC"
113,0208731190,"CRABTREE CREEK AT ANDERSON DRIVE AT RALEIGH, NC"
114,02087322,"CRABTREE CR AT OLD WAKE FOREST RD AT RALEIGH, NC"
115,02087324,"CRABTREE CREEK AT US 1 AT RALEIGH, NC"
116,0208732534,"PIGEON HOUSE CR AT CAMERON VILLAGE AT RALEIGH, NC"
117,0208732810,"MARSH CREEK AT SR2030 AT MILLBROOK, NC"
118,0208732885,"MARSH CREEK NEAR NEW HOPE, NC"
119,02087337,"WALNUT CREEK AT BUCK JONES ROAD AT RALEIGH, NC"
120,02087339,"LAKE JOHNSON ABOVE DAM AT RALEIGH, NC"
121,0208734210,"WALNUT CREEK AT TRAILWOOD DRIVE AT RALEIGH, NC"
